,0
0,0
1,1
2,2
3,4
4,6
5,7
6,9
7,10
8,12
9,15
10,16
11,17
12,18
13,19
14,20
15,21
16,22
17,23
18,24
19,25
20,27
21,28
22,29
23,30
24,32
25,33
26,34
27,35
28,37
29,38
30,39
31,41
32,42
33,44
34,45
35,46
36,47
37,48
38,49
39,50
40,51
41,52
42,54
43,55
44,56
45,57
46,58
47,59
48,60
49,62
50,64
51,65
52,67
53,68
54,70
55,72
56,73
57,74
58,76
59,77
60,78
61,79
62,80
63,81
64,82
65,83
66,85
67,86
68,87
69,88
70,89
71,90
72,92
73,93
74,94
75,96
76,97
77,99
78,100
79,101
80,103
81,104
82,105
83,106
84,107
85,108
86,109
87,110
88,111
89,115
90,117
91,118
92,121
93,122
94,125
95,126
96,129
97,131
98,132
99,133
100,134
101,135
102,136
103,137
104,139
105,140
106,141
107,142
108,143
109,144
110,145
111,146
112,147
113,148
114,149
115,150
116,151
117,152
118,153
119,154
120,155
121,156
122,157
123,158
124,159
125,160
126,161
127,162
128,163
129,164
130,165
131,166
132,167
133,168
134,170
135,172
136,173
137,174
138,175
139,176
140,177
141,179
142,180
143,182
144,183
145,184
146,186
147,187
148,188
149,189
150,190
151,191
152,193
153,194
154,198
155,199
156,201
157,202
158,204
159,205
160,206
161,207
162,208
163,209
164,210
165,211
166,212
167,213
168,214
169,215
170,216
171,217
172,218
173,219
174,220
175,221
176,222
177,223
178,225
179,226
180,227
181,228
182,229
183,230
184,231
185,232
186,234
187,236
188,237
189,238
190,240
191,241
192,244
193,247
194,248
195,249
196,250
197,251
198,252
199,253
200,254
201,255
202,256
203,257
204,258
205,259
206,260
207,261
208,262
209,263
210,264
211,265
212,266
213,267
214,268
215,269
216,270
217,271
218,273
219,274
220,275
221,276
222,277
223,278
224,279
225,280
226,281
227,282
228,284
229,285
230,286
231,287
232,288
233,289
234,290
235,292
236,293
237,294
238,297
239,298
240,299
241,300
242,301
243,302
244,303
245,305
246,306
247,307
248,308
249,309
250,310
251,311
252,312
253,313
254,314
255,315
256,316
257,317
258,318
259,319
260,320
261,322
262,323
263,324
264,325
265,326
266,327
267,328
268,330
269,331
270,332
271,333
272,334
273,335
274,336
275,337
276,338
277,339
278,340
279,341
280,342
281,343
282,344
283,345
284,346
285,347
286,348
287,349
288,350
289,351
290,352
291,353
292,354
293,355
294,356
295,357
296,358
297,359
298,360
299,361
300,362
301,363
302,364
303,365
304,366
305,367
306,368
307,369
308,371
309,372
310,373
311,374
312,376
313,378
314,379
315,380
316,381
317,382
318,384
319,385
320,386
321,387
322,388
323,390
324,392
325,393
326,394
327,396
328,397
329,399
330,401
331,403
332,404
333,405
334,406
335,407
336,408
337,409
338,410
339,411
340,412
341,413
342,414
343,416
344,417
345,418
346,419
347,420
348,421
349,425
350,426
351,427
352,428
353,429
354,430
355,431
356,432
357,433
358,437
359,439
360,440
361,441
362,443
363,444
364,445
365,446
366,447
367,448
368,450
369,451
370,453
371,454
372,455
373,456
374,457
375,458
376,461
377,462
378,463
379,464
380,465
381,466
382,468
383,469
384,471
385,472
386,473
387,475
388,476
389,478
390,479
391,480
392,482
393,483
394,486
395,487
396,488
397,490
398,493
399,495
400,496
401,497
402,498
403,499
404,500
405,501
406,502
407,503
408,504
409,505
410,506
411,508
412,509
413,514
414,515
415,516
416,517
417,518
418,521
419,522
420,523
421,524
422,525
423,526
424,528
425,529
426,530
427,531
428,532
429,534
430,535
431,536
432,537
433,538
434,540
435,541
436,542
437,543
438,544
439,546
440,547
441,548
442,550
443,551
444,552
445,555
446,556
447,557
448,558
449,559
450,560
451,561
452,562
453,563
454,564
455,565
456,566
457,568
458,569
459,570
460,571
461,572
462,573
463,574
464,575
465,576
466,578
467,580
468,581
469,582
470,584
471,585
472,586
473,587
474,589
475,590
476,591
477,592
478,593
479,594
480,595
481,596
482,597
483,598
484,599
485,600
486,601
487,602
488,603
489,605
490,608
491,610
492,611
493,612
494,613
495,614
496,615
497,616
498,617
499,618
500,620
501,621
502,622
503,623
504,624
505,625
506,626
507,627
508,628
509,630
510,631
511,632
512,633
513,634
514,635
515,636
516,637
517,638
518,639
519,641
520,642
521,643
522,644
523,645
524,646
525,648
526,650
527,651
528,652
529,653
530,655
531,656
532,657
533,658
534,659
535,662
536,663
537,664
538,666
539,667
540,669
541,670
542,671
543,672
544,673
545,674
546,675
547,676
548,678
549,679
550,680
551,681
552,682
553,683
554,684
555,685
556,687
557,689
558,690
559,691
560,692
561,693
562,695
563,696
564,697
565,698
566,699
567,702
568,703
569,704
570,705
571,706
572,708
573,710
574,711
575,712
576,713
577,714
578,715
579,716
580,717
581,718
582,720
583,721
584,722
585,724
586,725
587,726
588,727
589,728
590,729
591,730
592,731
593,733
594,734
595,735
596,736
597,737
598,738
599,739
600,740
601,741
602,742
603,743
604,744
605,746
606,747
607,749
608,750
609,751
610,752
611,753
612,754
613,755
614,756
615,757
616,758
617,759
618,760
619,761
620,762
621,764
622,765
623,766
624,767
625,768
626,769
627,772
628,773
629,774
630,775
631,776
632,777
633,778
634,779
635,780
636,781
637,782
638,784
639,786
640,789
641,790
642,791
643,792
644,793
645,795
646,796
647,797
648,798
649,799
650,800
651,801
652,803
653,805
654,806
655,807
656,808
657,809
658,811
659,812
660,813
661,814
662,815
663,817
664,818
665,819
666,820
667,821
668,823
669,824
670,826
671,827
672,828
673,829
674,830
675,831
676,833
677,835
678,836
679,838
680,839
681,840
682,841
683,842
684,843
685,844
686,845
687,846
688,848
689,849
690,854
691,855
692,857
693,858
694,860
695,861
696,863
697,864
698,866
699,867
700,868
701,869
702,871
703,872
704,874
705,875
706,877
707,880
708,881
709,882
710,883
711,885
712,886
713,887
714,888
715,889
716,890
717,891
718,892
719,893
720,894
721,899
722,900
723,901
724,902
725,903
726,908
727,909
728,910
729,911
730,912
731,913
732,914
733,916
734,917
735,918
736,919
737,920
738,922
739,924
740,927
741,928
742,929
743,930
744,931
745,932
746,933
747,934
748,935
749,936
750,937
751,938
752,940
753,941
754,942
755,943
756,945
757,947
758,949
759,950
760,951
761,952
762,954
763,955
764,956
765,957
766,958
767,959
768,960
769,962
770,964
771,965
772,966
773,967
774,968
775,969
776,970
777,971
778,972
779,973
780,974
781,975
782,977
783,978
784,979
785,983
786,984
787,986
788,987
789,989
790,990
791,991
792,992
793,995
794,996
795,997
796,998
797,1000
798,1001
799,1002
800,1003
801,1005
802,1006
803,1007
804,1008
805,1009
806,1011
807,1012
808,1013
809,1014
810,1015
811,1016
812,1017
813,1018
814,1019
815,1021
816,1022
817,1024
818,1025
819,1026
820,1027
821,1028
822,1030
823,1032
824,1033
825,1034
826,1036
827,1037
828,1038
829,1041
830,1042
831,1043
832,1044
833,1045
834,1046
835,1047
836,1048
837,1049
838,1051
839,1052
840,1054
841,1056
842,1057
843,1058
844,1059
845,1060
846,1061
847,1062
848,1063
849,1064
850,1065
851,1066
852,1067
853,1068
854,1069
855,1070
856,1072
857,1073
858,1074
859,1075
860,1078
861,1079
862,1082
863,1083
864,1085
865,1086
866,1087
867,1088
868,1089
869,1091
870,1092
871,1094
872,1095
873,1096
874,1097
875,1098
876,1099
877,1101
878,1102
879,1104
880,1106
881,1107
882,1108
883,1109
884,1110
885,1111
886,1112
887,1113
888,1114
889,1115
890,1117
891,1118
892,1119
893,1120
894,1121
895,1122
896,1124
897,1126
898,1127
899,1128
900,1129
901,1130
902,1131
903,1132
904,1133
905,1134
906,1135
907,1136
908,1137
909,1138
910,1140
911,1141
912,1142
913,1143
914,1144
915,1145
916,1146
917,1149
918,1150
919,1152
920,1153
921,1156
922,1157
923,1158
924,1159
925,1160
926,1162
927,1163
928,1165
929,1166
930,1167
931,1168
932,1169
933,1170
934,1171
935,1172
936,1174
937,1175
938,1177
939,1178
940,1179
941,1181
942,1182
943,1183
944,1184
945,1185
946,1186
947,1187
948,1188
949,1189
950,1191
951,1192
952,1193
953,1195
954,1196
955,1198
956,1199
957,1200
958,1201
959,1202
960,1203
961,1204
962,1205
963,1206
964,1207
965,1208
966,1210
967,1211
968,1212
969,1213
970,1214
971,1215
972,1216
973,1218
974,1219
975,1220
976,1221
977,1224
978,1225
979,1226
980,1227
981,1229
982,1230
983,1231
984,1232
985,1233
986,1234
987,1235
988,1237
989,1238
990,1239
991,1240
992,1241
993,1242
994,1243
995,1244
996,1245
997,1246
998,1247
999,1248
1000,1249
1001,1252
1002,1253
1003,1254
1004,1255
1005,1257
1006,1258
1007,1259
1008,1260
1009,1261
1010,1262
1011,1263
1012,1264
1013,1265
1014,1266
1015,1267
1016,1269
